sample_id,filename,source,split,change_ratio,A_path,B_path,label_path,annotator,label_quality_ok,registration_ok,pseudo_change_risk,error_type,notes
jrc_tmf_2020_2023_congo_gabon_01_000768_005120,jrc_tmf_2020_2023_congo_gabon_01_000768_005120.png,jrc_tmf_2020_2023_congo_gabon_01,test,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_congo_gabon_01_000768_005120.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_congo_gabon_01_000768_005120.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_congo_gabon_01_000768_005120.png,,,,,,
jrc_tmf_2020_2023_amazon_colombia_01_004096_006144,jrc_tmf_2020_2023_amazon_colombia_01_004096_006144.png,jrc_tmf_2020_2023_amazon_colombia_01,train,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_amazon_colombia_01_004096_006144.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_amazon_colombia_01_004096_006144.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_amazon_colombia_01_004096_006144.png,,,,,,
jrc_tmf_2020_2023_congo_cameroon_01_006144_001536,jrc_tmf_2020_2023_congo_cameroon_01_006144_001536.png,jrc_tmf_2020_2023_congo_cameroon_01,train,0.008485185700375574,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_congo_cameroon_01_006144_001536.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_congo_cameroon_01_006144_001536.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_congo_cameroon_01_006144_001536.png,,,,,,
jrc_tmf_2020_2023_amazon_brazil_01_005376_002048,jrc_tmf_2020_2023_amazon_brazil_01_005376_002048.png,jrc_tmf_2020_2023_amazon_brazil_01,train,0.279547994916474,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_amazon_brazil_01_005376_002048.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_amazon_brazil_01_005376_002048.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_amazon_brazil_01_005376_002048.png,,,,,,
jrc_tmf_2020_2023_amazon_brazil_01_005120_000768,jrc_tmf_2020_2023_amazon_brazil_01_005120_000768.png,jrc_tmf_2020_2023_amazon_brazil_01,train,0.01756527276586712,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_amazon_brazil_01_005120_000768.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_amazon_brazil_01_005120_000768.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_amazon_brazil_01_005120_000768.png,,,,,,
jrc_tmf_2020_2023_se_asia_borneo_02_stable_000512_002816,jrc_tmf_2020_2023_se_asia_borneo_02_stable_000512_002816.png,jrc_tmf_2020_2023_se_asia_borneo_02_stable,train,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_se_asia_borneo_02_stable_000512_002816.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_se_asia_borneo_02_stable_000512_002816.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_se_asia_borneo_02_stable_000512_002816.png,,,,,,
jrc_tmf_2020_2023_se_asia_sumatra_02_stable_006912_002816,jrc_tmf_2020_2023_se_asia_sumatra_02_stable_006912_002816.png,jrc_tmf_2020_2023_se_asia_sumatra_02_stable,val,0.032216355996121104,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_se_asia_sumatra_02_stable_006912_002816.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_se_asia_sumatra_02_stable_006912_002816.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_se_asia_sumatra_02_stable_006912_002816.png,,,,,,
jrc_tmf_2020_2023_se_asia_borneo_02_stable_006144_003840,jrc_tmf_2020_2023_se_asia_borneo_02_stable_006144_003840.png,jrc_tmf_2020_2023_se_asia_borneo_02_stable,train,0.003091646340516103,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_se_asia_borneo_02_stable_006144_003840.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_se_asia_borneo_02_stable_006144_003840.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_se_asia_borneo_02_stable_006144_003840.png,,,,,,
jrc_tmf_2020_2023_congo_drc_02_stable_001280_006144,jrc_tmf_2020_2023_congo_drc_02_stable_001280_006144.png,jrc_tmf_2020_2023_congo_drc_02_stable,train,0.00889194060595657,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_congo_drc_02_stable_001280_006144.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_congo_drc_02_stable_001280_006144.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_congo_drc_02_stable_001280_006144.png,,,,,,
jrc_tmf_2020_2023_congo_drc_01_004864_003840,jrc_tmf_2020_2023_congo_drc_01_004864_003840.png,jrc_tmf_2020_2023_congo_drc_01,train,0.048194241093216204,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_congo_drc_01_004864_003840.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_congo_drc_01_004864_003840.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_congo_drc_01_004864_003840.png,,,,,,
jrc_tmf_2020_2023_amazon_colombia_01_000768_005376,jrc_tmf_2020_2023_amazon_colombia_01_000768_005376.png,jrc_tmf_2020_2023_amazon_colombia_01,train,0.011384446343547796,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_amazon_colombia_01_000768_005376.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_amazon_colombia_01_000768_005376.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_amazon_colombia_01_000768_005376.png,,,,,,
jrc_tmf_2020_2023_se_asia_papua_01_stable_002048_000512,jrc_tmf_2020_2023_se_asia_papua_01_stable_002048_000512.png,jrc_tmf_2020_2023_se_asia_papua_01_stable,train,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_se_asia_papua_01_stable_002048_000512.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_se_asia_papua_01_stable_002048_000512.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_se_asia_papua_01_stable_002048_000512.png,,,,,,
jrc_tmf_2020_2023_se_asia_borneo_01_006656_003072,jrc_tmf_2020_2023_se_asia_borneo_01_006656_003072.png,jrc_tmf_2020_2023_se_asia_borneo_01,test,0.06070499596376357,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_se_asia_borneo_01_006656_003072.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_se_asia_borneo_01_006656_003072.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_se_asia_borneo_01_006656_003072.png,,,,,,
jrc_tmf_2020_2023_amazon_peru_02_stable_003584_006400,jrc_tmf_2020_2023_amazon_peru_02_stable_003584_006400.png,jrc_tmf_2020_2023_amazon_peru_02_stable,train,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_amazon_peru_02_stable_003584_006400.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_amazon_peru_02_stable_003584_006400.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_amazon_peru_02_stable_003584_006400.png,,,,,,
jrc_tmf_2020_2023_se_asia_borneo_01_001280_006400,jrc_tmf_2020_2023_se_asia_borneo_01_001280_006400.png,jrc_tmf_2020_2023_se_asia_borneo_01,val,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_se_asia_borneo_01_001280_006400.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_se_asia_borneo_01_001280_006400.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_se_asia_borneo_01_001280_006400.png,,,,,,
jrc_tmf_2020_2023_amazon_peru_01_007168_001024,jrc_tmf_2020_2023_amazon_peru_01_007168_001024.png,jrc_tmf_2020_2023_amazon_peru_01,test,0.07191189509543143,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_amazon_peru_01_007168_001024.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_amazon_peru_01_007168_001024.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_amazon_peru_01_007168_001024.png,,,,,,
jrc_tmf_2020_2023_congo_gabon_02_stable_006400_001792,jrc_tmf_2020_2023_congo_gabon_02_stable_006400_001792.png,jrc_tmf_2020_2023_congo_gabon_02_stable,test,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_congo_gabon_02_stable_006400_001792.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_congo_gabon_02_stable_006400_001792.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_congo_gabon_02_stable_006400_001792.png,,,,,,
jrc_tmf_2020_2023_congo_roc_01_stable_001536_005888,jrc_tmf_2020_2023_congo_roc_01_stable_001536_005888.png,jrc_tmf_2020_2023_congo_roc_01_stable,train,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_congo_roc_01_stable_001536_005888.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_congo_roc_01_stable_001536_005888.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_congo_roc_01_stable_001536_005888.png,,,,,,
jrc_tmf_2020_2023_se_asia_papua_01_stable_004096_004352,jrc_tmf_2020_2023_se_asia_papua_01_stable_004096_004352.png,jrc_tmf_2020_2023_se_asia_papua_01_stable,train,0.003291506984794165,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_se_asia_papua_01_stable_004096_004352.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_se_asia_papua_01_stable_004096_004352.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_se_asia_papua_01_stable_004096_004352.png,,,,,,
jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000512,jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000512.png,jrc_tmf_2020_2023_amazon_colombia_02_stable,val,0.003893020495094445,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000512.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000512.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000512.png,,,,,,
jrc_tmf_2020_2023_amazon_colombia_02_stable_005376_006400,jrc_tmf_2020_2023_amazon_colombia_02_stable_005376_006400.png,jrc_tmf_2020_2023_amazon_colombia_02_stable,train,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_amazon_colombia_02_stable_005376_006400.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_amazon_colombia_02_stable_005376_006400.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_amazon_colombia_02_stable_005376_006400.png,,,,,,
jrc_tmf_2020_2023_congo_drc_01_000512_006912,jrc_tmf_2020_2023_congo_drc_01_000512_006912.png,jrc_tmf_2020_2023_congo_drc_01,train,0.0,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_congo_drc_01_000512_006912.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_congo_drc_01_000512_006912.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_congo_drc_01_000512_006912.png,,,,,,
jrc_tmf_2020_2023_congo_roc_01_stable_004352_005632,jrc_tmf_2020_2023_congo_roc_01_stable_004352_005632.png,jrc_tmf_2020_2023_congo_roc_01_stable,train,0.024746645436300608,/private/tmp/JRC_TMF_256_5000_build/A/jrc_tmf_2020_2023_congo_roc_01_stable_004352_005632.png,/private/tmp/JRC_TMF_256_5000_build/B/jrc_tmf_2020_2023_congo_roc_01_stable_004352_005632.png,/private/tmp/JRC_TMF_256_5000_build/label/jrc_tmf_2020_2023_congo_roc_01_stable_004352_005632.png,,,,,,
